Buggy Code,Fixed Code,Bug Type,Severity,Frequency,Programming Language
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,112,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,High,233,Java
printf('Hello'),printf('Hello');,NameError,Low,322,C
console.log('Hello'),console.log('Hello');,AttributeError,Medium,136,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,333,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,131,Java
console.log('Hello'),console.log('Hello');,AttributeError,Low,237,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,406,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,191,Python
printf('Hello'),printf('Hello');,NameError,Medium,449,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Low,205,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,345,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,365,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,128,Python
printf('Hello'),printf('Hello');,IndentationError,Medium,346,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Critical,198,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,122,Python
console.log('Hello'),console.log('Hello');,IndexError,Medium,422,JavaScript
printf('Hello'),printf('Hello');,LogicalError,Medium,460,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Medium,134,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Low,122,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,482,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,410,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,206,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Low,405,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Critical,333,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,149,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Low,87,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,379,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Critical,81,Java
console.log('Hello'),console.log('Hello');,NameError,Critical,278,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Medium,233,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,498,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Critical,409,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,High,66,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,High,452,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Low,359,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,137,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Critical,446,C++
console.log('Hello'),console.log('Hello');,AttributeError,High,296,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,302,C++
